customer_id,transaction_time,amount,status,days_late
CUST-00001,2026-04-21 00:00:00+00:00,32.65,succeeded,1
CUST-00001,2026-03-22 00:00:00+00:00,31.15,succeeded,0
CUST-00001,2026-02-20 00:00:00+00:00,28.32,succeeded,1
CUST-00001,2026-01-21 00:00:00+00:00,28.85,succeeded,2
CUST-00001,2025-12-22 00:00:00+00:00,29.37,succeeded,1
CUST-00001,2025-11-22 00:00:00+00:00,32.06,succeeded,3
CUST-00002,2026-04-21 00:00:00+00:00,30.9,succeeded,1
CUST-00002,2026-03-22 00:00:00+00:00,26.79,failed,10
CUST-00002,2026-02-20 00:00:00+00:00,22.71,succeeded,0
CUST-00002,2026-01-21 00:00:00+00:00,27.14,succeeded,2
CUST-00002,2025-12-22 00:00:00+00:00,26.68,succeeded,1
CUST-00002,2025-11-22 00:00:00+00:00,33.59,succeeded,2
CUST-00003,2026-04-21 00:00:00+00:00,16.65,succeeded,0
CUST-00003,2026-03-22 00:00:00+00:00,12.05,succeeded,1
CUST-00003,2026-02-20 00:00:00+00:00,14.45,succeeded,0
CUST-00003,2026-01-21 00:00:00+00:00,12.11,succeeded,2
CUST-00003,2025-12-22 00:00:00+00:00,14.04,succeeded,1
CUST-00003,2025-11-22 00:00:00+00:00,15.9,succeeded,0
CUST-00004,2026-03-22 00:00:00+00:00,36.31,succeeded,1
CUST-00004,2026-02-20 00:00:00+00:00,23.13,succeeded,0
CUST-00004,2026-01-21 00:00:00+00:00,31.41,succeeded,1
CUST-00004,2025-12-22 00:00:00+00:00,19.71,succeeded,3
CUST-00004,2025-11-22 00:00:00+00:00,37.41,succeeded,2
CUST-00005,2026-04-21 00:00:00+00:00,68.4,succeeded,0
CUST-00005,2026-03-22 00:00:00+00:00,76.86,succeeded,3
CUST-00005,2026-02-20 00:00:00+00:00,70.74,succeeded,1
CUST-00005,2026-01-21 00:00:00+00:00,71.78,succeeded,3
CUST-00005,2025-12-22 00:00:00+00:00,65.15,succeeded,2
CUST-00005,2025-11-22 00:00:00+00:00,67.37,succeeded,1
CUST-00006,2026-04-21 00:00:00+00:00,10.0,succeeded,0
CUST-00006,2026-03-22 00:00:00+00:00,16.39,succeeded,1
CUST-00006,2026-02-20 00:00:00+00:00,21.72,succeeded,1
CUST-00006,2026-01-21 00:00:00+00:00,15.33,succeeded,2
CUST-00006,2025-12-22 00:00:00+00:00,65.01,succeeded,3
CUST-00006,2025-11-22 00:00:00+00:00,16.93,succeeded,0
CUST-00007,2026-04-21 00:00:00+00:00,30.05,succeeded,3
CUST-00007,2026-03-22 00:00:00+00:00,32.56,succeeded,3
CUST-00007,2026-02-20 00:00:00+00:00,31.02,succeeded,2
CUST-00007,2026-01-21 00:00:00+00:00,34.42,succeeded,3
CUST-00007,2025-12-22 00:00:00+00:00,29.06,succeeded,2
CUST-00007,2025-11-22 00:00:00+00:00,33.39,succeeded,3
CUST-00008,2026-03-22 00:00:00+00:00,200.52,succeeded,1
CUST-00008,2026-02-20 00:00:00+00:00,202.77,succeeded,2
CUST-00008,2026-01-21 00:00:00+00:00,205.87,succeeded,0
CUST-00008,2025-12-22 00:00:00+00:00,205.76,succeeded,1
CUST-00008,2025-11-22 00:00:00+00:00,203.13,succeeded,1
CUST-00009,2026-04-21 00:00:00+00:00,33.96,succeeded,3
CUST-00009,2026-03-22 00:00:00+00:00,28.42,failed,9
CUST-00009,2026-02-20 00:00:00+00:00,28.07,succeeded,3
CUST-00009,2026-01-21 00:00:00+00:00,38.56,succeeded,3
CUST-00009,2025-12-22 00:00:00+00:00,28.91,succeeded,0
CUST-00009,2025-11-22 00:00:00+00:00,28.9,succeeded,2
CUST-00010,2026-03-22 00:00:00+00:00,34.75,failed,13
CUST-00010,2026-02-20 00:00:00+00:00,31.31,succeeded,3
CUST-00010,2026-01-21 00:00:00+00:00,28.53,succeeded,3
CUST-00010,2025-12-22 00:00:00+00:00,34.01,failed,11
CUST-00010,2025-11-22 00:00:00+00:00,29.52,succeeded,1
CUST-00011,2026-03-22 00:00:00+00:00,61.8,succeeded,3
CUST-00011,2026-02-20 00:00:00+00:00,67.15,succeeded,3
CUST-00011,2026-01-21 00:00:00+00:00,70.67,succeeded,3
CUST-00011,2025-12-22 00:00:00+00:00,60.37,failed,0
CUST-00011,2025-11-22 00:00:00+00:00,62.39,succeeded,1
CUST-00012,2026-04-21 00:00:00+00:00,23.98,succeeded,0
CUST-00012,2026-03-22 00:00:00+00:00,11.79,succeeded,3
CUST-00012,2026-02-20 00:00:00+00:00,15.58,succeeded,0
CUST-00012,2026-01-21 00:00:00+00:00,15.16,succeeded,2
CUST-00012,2025-12-22 00:00:00+00:00,18.94,succeeded,3
CUST-00012,2025-11-22 00:00:00+00:00,17.55,succeeded,3
CUST-00013,2026-04-21 00:00:00+00:00,49.38,succeeded,3
CUST-00013,2026-03-22 00:00:00+00:00,40.35,succeeded,2
CUST-00013,2026-02-20 00:00:00+00:00,48.54,succeeded,0
CUST-00013,2026-01-21 00:00:00+00:00,50.33,succeeded,2
CUST-00013,2025-12-22 00:00:00+00:00,41.46,succeeded,2
CUST-00013,2025-11-22 00:00:00+00:00,46.46,failed,6
CUST-00014,2026-04-21 00:00:00+00:00,21.85,succeeded,2
CUST-00014,2026-03-22 00:00:00+00:00,16.26,succeeded,1
CUST-00014,2026-02-20 00:00:00+00:00,15.69,succeeded,0
CUST-00014,2026-01-21 00:00:00+00:00,12.95,succeeded,2
CUST-00014,2025-12-22 00:00:00+00:00,21.88,succeeded,1
CUST-00014,2025-11-22 00:00:00+00:00,20.96,succeeded,2
CUST-00015,2026-04-21 00:00:00+00:00,204.19,succeeded,1
CUST-00015,2026-03-22 00:00:00+00:00,203.52,succeeded,1
CUST-00015,2026-02-20 00:00:00+00:00,198.65,succeeded,2
CUST-00015,2026-01-21 00:00:00+00:00,201.08,succeeded,1
CUST-00015,2025-12-22 00:00:00+00:00,203.95,succeeded,1
CUST-00015,2025-11-22 00:00:00+00:00,202.22,succeeded,2
CUST-00016,2026-04-21 00:00:00+00:00,25.66,succeeded,3
CUST-00016,2026-03-22 00:00:00+00:00,17.75,succeeded,3
CUST-00016,2026-02-20 00:00:00+00:00,17.3,succeeded,2
CUST-00016,2026-01-21 00:00:00+00:00,27.65,failed,4
CUST-00016,2025-12-22 00:00:00+00:00,26.68,succeeded,2
CUST-00016,2025-11-22 00:00:00+00:00,22.92,succeeded,2
CUST-00017,2026-04-21 00:00:00+00:00,20.06,succeeded,1
CUST-00017,2026-03-22 00:00:00+00:00,29.95,succeeded,0
CUST-00017,2026-02-20 00:00:00+00:00,31.05,succeeded,0
CUST-00017,2026-01-21 00:00:00+00:00,28.77,failed,12
CUST-00017,2025-12-22 00:00:00+00:00,32.87,succeeded,0
CUST-00017,2025-11-22 00:00:00+00:00,21.72,succeeded,1
CUST-00018,2026-04-21 00:00:00+00:00,21.83,succeeded,2
CUST-00018,2026-03-22 00:00:00+00:00,12.93,succeeded,2
CUST-00018,2026-02-20 00:00:00+00:00,20.3,succeeded,3
CUST-00018,2026-01-21 00:00:00+00:00,17.64,failed,3
CUST-00018,2025-12-22 00:00:00+00:00,24.53,succeeded,2
CUST-00018,2025-11-22 00:00:00+00:00,21.98,succeeded,0
CUST-00019,2026-03-22 00:00:00+00:00,32.0,succeeded,0
CUST-00019,2026-02-20 00:00:00+00:00,26.72,succeeded,1
CUST-00019,2026-01-21 00:00:00+00:00,40.15,succeeded,1
CUST-00019,2025-12-22 00:00:00+00:00,33.16,succeeded,3
CUST-00019,2025-11-22 00:00:00+00:00,38.12,succeeded,3
CUST-00020,2026-04-21 00:00:00+00:00,74.25,succeeded,2
CUST-00020,2026-03-22 00:00:00+00:00,90.0,succeeded,3
CUST-00020,2026-02-20 00:00:00+00:00,80.46,succeeded,0
CUST-00020,2026-01-21 00:00:00+00:00,89.03,succeeded,1
CUST-00020,2025-12-22 00:00:00+00:00,77.28,failed,1
CUST-00020,2025-11-22 00:00:00+00:00,81.14,succeeded,2
CUST-00021,2026-04-21 00:00:00+00:00,21.4,succeeded,1
CUST-00021,2026-03-22 00:00:00+00:00,33.57,succeeded,1
CUST-00021,2026-02-20 00:00:00+00:00,32.3,succeeded,2
CUST-00021,2026-01-21 00:00:00+00:00,18.12,succeeded,3
CUST-00021,2025-12-22 00:00:00+00:00,12.39,failed,12
CUST-00021,2025-11-22 00:00:00+00:00,21.79,succeeded,0
CUST-00022,2026-03-22 00:00:00+00:00,73.25,succeeded,2
CUST-00022,2026-02-20 00:00:00+00:00,70.67,succeeded,0
CUST-00022,2026-01-21 00:00:00+00:00,67.52,succeeded,2
CUST-00022,2025-12-22 00:00:00+00:00,73.03,succeeded,1
CUST-00022,2025-11-22 00:00:00+00:00,67.01,succeeded,1
CUST-00023,2026-04-21 00:00:00+00:00,70.42,failed,12
CUST-00023,2026-03-22 00:00:00+00:00,71.52,succeeded,0
CUST-00023,2026-02-20 00:00:00+00:00,81.82,succeeded,2
CUST-00023,2026-01-21 00:00:00+00:00,86.4,succeeded,1
CUST-00023,2025-12-22 00:00:00+00:00,79.38,succeeded,1
CUST-00023,2025-11-22 00:00:00+00:00,74.84,succeeded,2
CUST-00024,2026-04-21 00:00:00+00:00,74.39,succeeded,1
CUST-00024,2026-03-22 00:00:00+00:00,70.81,succeeded,2
CUST-00024,2026-02-20 00:00:00+00:00,71.17,failed,5
CUST-00024,2026-01-21 00:00:00+00:00,67.64,failed,2
CUST-00024,2025-12-22 00:00:00+00:00,68.96,failed,11
CUST-00024,2025-11-22 00:00:00+00:00,68.6,succeeded,0
CUST-00025,2026-04-21 00:00:00+00:00,25.06,succeeded,2
CUST-00025,2026-03-22 00:00:00+00:00,30.14,failed,14
CUST-00025,2026-02-20 00:00:00+00:00,29.24,succeeded,3
CUST-00025,2026-01-21 00:00:00+00:00,42.2,succeeded,2
CUST-00025,2025-12-22 00:00:00+00:00,30.27,succeeded,1
CUST-00025,2025-11-22 00:00:00+00:00,27.4,failed,4
CUST-00026,2026-03-22 00:00:00+00:00,222.58,succeeded,2
CUST-00026,2026-02-20 00:00:00+00:00,215.17,succeeded,3
CUST-00026,2026-01-21 00:00:00+00:00,212.66,succeeded,3
CUST-00026,2025-12-22 00:00:00+00:00,209.81,succeeded,0
CUST-00026,2025-11-22 00:00:00+00:00,218.76,succeeded,0
CUST-00027,2026-04-21 00:00:00+00:00,94.63,failed,0
CUST-00027,2026-03-22 00:00:00+00:00,80.17,succeeded,2
CUST-00027,2026-02-20 00:00:00+00:00,95.93,failed,5
CUST-00027,2026-01-21 00:00:00+00:00,90.58,succeeded,2
CUST-00027,2025-12-22 00:00:00+00:00,91.26,succeeded,1
CUST-00027,2025-11-22 00:00:00+00:00,89.6,succeeded,1
CUST-00028,2026-03-22 00:00:00+00:00,31.15,succeeded,3
CUST-00028,2026-02-20 00:00:00+00:00,34.74,succeeded,0
CUST-00028,2026-01-21 00:00:00+00:00,28.79,succeeded,3
CUST-00028,2025-12-22 00:00:00+00:00,38.51,succeeded,1
CUST-00028,2025-11-22 00:00:00+00:00,36.85,succeeded,3
CUST-00029,2026-03-22 00:00:00+00:00,73.61,succeeded,0
CUST-00029,2026-02-20 00:00:00+00:00,76.19,succeeded,2
CUST-00029,2026-01-21 00:00:00+00:00,74.63,succeeded,1
CUST-00029,2025-12-22 00:00:00+00:00,84.24,failed,5
CUST-00029,2025-11-22 00:00:00+00:00,75.46,succeeded,2
CUST-00030,2026-04-21 00:00:00+00:00,185.18,succeeded,3
CUST-00030,2026-03-22 00:00:00+00:00,189.83,succeeded,1
CUST-00030,2026-02-20 00:00:00+00:00,185.52,succeeded,0
CUST-00030,2026-01-21 00:00:00+00:00,177.16,succeeded,0
CUST-00030,2025-12-22 00:00:00+00:00,189.62,succeeded,1
CUST-00030,2025-11-22 00:00:00+00:00,185.39,succeeded,2
CUST-00031,2026-04-21 00:00:00+00:00,15.7,succeeded,0
CUST-00031,2026-03-22 00:00:00+00:00,10.0,succeeded,3
CUST-00031,2026-02-20 00:00:00+00:00,16.68,succeeded,3
CUST-00031,2026-01-21 00:00:00+00:00,15.35,succeeded,0
CUST-00031,2025-12-22 00:00:00+00:00,16.25,succeeded,3
CUST-00031,2025-11-22 00:00:00+00:00,17.42,failed,7
CUST-00032,2026-04-21 00:00:00+00:00,206.48,succeeded,2
CUST-00032,2026-03-22 00:00:00+00:00,205.79,succeeded,2
CUST-00032,2026-02-20 00:00:00+00:00,211.96,succeeded,2
CUST-00032,2026-01-21 00:00:00+00:00,202.3,succeeded,3
CUST-00032,2025-12-22 00:00:00+00:00,209.07,succeeded,1
CUST-00032,2025-11-22 00:00:00+00:00,212.38,failed,9
CUST-00033,2026-04-21 00:00:00+00:00,23.92,succeeded,3
CUST-00033,2026-03-22 00:00:00+00:00,26.66,succeeded,0
CUST-00033,2026-02-20 00:00:00+00:00,19.11,succeeded,0
CUST-00033,2026-01-21 00:00:00+00:00,23.21,failed,6
CUST-00033,2025-12-22 00:00:00+00:00,19.17,succeeded,2
CUST-00033,2025-11-22 00:00:00+00:00,19.7,succeeded,0
CUST-00034,2026-04-21 00:00:00+00:00,65.64,succeeded,0
CUST-00034,2026-03-22 00:00:00+00:00,72.24,succeeded,1
CUST-00034,2026-02-20 00:00:00+00:00,77.14,succeeded,3
CUST-00034,2026-01-21 00:00:00+00:00,78.89,succeeded,0
CUST-00034,2025-12-22 00:00:00+00:00,76.32,failed,14
CUST-00034,2025-11-22 00:00:00+00:00,76.31,succeeded,0
CUST-00035,2026-04-21 00:00:00+00:00,202.36,succeeded,3
